STRUCTURE,STRUCTURE_ID,STRUCTURE_NAME,ACTION,REF_AREA,Reference area,FREQ,Frequency of observation,MEASURE,Measure,UNIT_MEASURE,Unit of measure,ACTIVITY,Economic activity,ADJUSTMENT,Adjustment,TRANSFORMATION,Transformation,TIME_HORIZ,Time horizon,METHODOLOGY,Calculation methodology,TIME_PERIOD,Time period,OBS_VALUE,Observation value,OBS_STATUS,Observation status,UNIT_MULT,Unit multiplier,DECIMALS,Decimals,BASE_PER,Base period
DATAFLOW,OECD.SDD.STES:DSD_STES@DF_MONAGG(4.0),Monetary aggregates,I,USA,United States,M,Monthly,MANM,M1,IX,Index,_Z,Not applicable,Y,Calendar and seasonally adjusted,_Z,Not applicable,_Z,Not applicable,N,National,2024-07,,597.4435,,A,Normal value,0,Units,2,Two,2015,
DATAFLOW,OECD.SDD.STES:DSD_STES@DF_MONAGG(4.0),Monetary aggregates,I,KOR,Korea,M,Monthly,MANM,M1,IX,Index,_Z,Not applicable,Y,Calendar and seasonally adjusted,_Z,Not applicable,_Z,Not applicable,N,National,2024-04,,194.9746,,A,Normal value,0,Units,2,Two,2015,
DATAFLOW,OECD.SDD.STES:DSD_STES@DF_MONAGG(4.0),Monetary aggregates,I,KOR,Korea,M,Monthly,MANM,M1,IX,Index,_Z,Not applicable,Y,Calendar and seasonally adjusted,_Z,Not applicable,_Z,Not applicable,N,National,2024-03,,195.6623,,A,Normal value,0,Units,2,Two,2015,
DATAFLOW,OECD.SDD.STES:DSD_STES@DF_MONAGG(4.0),Monetary aggregates,I,AUS,Australia,M,Monthly,MANM,M1,IX,Index,_Z,Not applicable,Y,Calendar and seasonally adjusted,_Z,Not applicable,_Z,Not applicable,N,National,2024-06,,244.8511,,A,Normal value,0,Units,2,Two,2015,
DATAFLOW,OECD.SDD.STES:DSD_STES@DF_MONAGG(4.0),Monetary aggregates,I,AUS,Australia,M,Monthly,MANM,M1,IX,Index,_Z,Not applicable,Y,Calendar and seasonally adjusted,_Z,Not applicable,_Z,Not applicable,N,National,2024-05,,244.0906,,A,Normal value,0,Units,2,Two,2015,
DATAFLOW,OECD.SDD.STES:DSD_STES@DF_MONAGG(4.0),Monetary aggregates,I,USA,United States,M,Monthly,MABM,M3,IX,Index,_Z,Not applicable,Y,Calendar and seasonally adjusted,_Z,Not applicable,_Z,Not applicable,N,National,2024-07,,174.7868,,A,Normal value,0,Units,2,Two,2015,
DATAFLOW,OECD.SDD.STES:DSD_STES@DF_MONAGG(4.0),Monetary aggregates,I,USA,United States,M,Monthly,MABM,M3,IX,Index,_Z,Not applicable,Y,Calendar and seasonally adjusted,_Z,Not applicable,_Z,Not applicable,N,National,2024-06,,174.5436,,A,Normal value,0,Units,2,Two,2015,
DATAFLOW,OECD.SDD.STES:DSD_STES@DF_MONAGG(4.0),Monetary aggregates,I,USA,United States,M,Monthly,MABM,M3,IX,Index,_Z,Not applicable,Y,Calendar and seasonally adjusted,_Z,Not applicable,_Z,Not applicable,N,National,2024-05,,173.9351,,A,Normal value,0,Units,2,Two,2015,
DATAFLOW,OECD.SDD.STES:DSD_STES@DF_MONAGG(4.0),Monetary aggregates,I,NOR,Norway,M,Monthly,MABM,M3,IX,Index,_Z,Not applicable,Y,Calendar and seasonally adjusted,_Z,Not applicable,_Z,Not applicable,N,National,2024-04,,164.3784,,A,Normal value,0,Units,2,Two,2015,
DATAFLOW,OECD.SDD.STES:DSD_STES@DF_MONAGG(4.0),Monetary aggregates,I,NOR,Norway,M,Monthly,MABM,M3,IX,Index,_Z,Not applicable,Y,Calendar and seasonally adjusted,_Z,Not applicable,_Z,Not applicable,N,National,2024-03,,163.4864,,A,Normal value,0,Units,2,Two,2015,
